MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,SaleType,SaleCondition,LotFrontage_na,Alley_na,MasVnrType_na,MasVnrArea_na,BsmtQual_na,BsmtCond_na,BsmtExposure_na,BsmtFinType1_na,BsmtFinType2_na,Electrical_na,FireplaceQu_na,GarageType_na,GarageYrBlt_na,GarageFinish_na,GarageQual_na,GarageCond_na,PoolQC_na,Fence_na,MiscFeature_na
9,RL,,11.41516017239456,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Crawfor,Norm,Norm,1Fam,1Story,6,3,50,32,Hip,CompShg,Wd Sdng,Stone,,,4,3,PConc,,,,,1219,,0,816,2035,GasA,3,Y,,7.83002808253384,0,0,7.83002808253384,1,0,3,0,4,2,3,9,Maj1,2,,,32.0,,2,484,,,Y,0,0,1,0,0,0,,,,0,3,WD,Alloca,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
5,RL,4.3694478524670215,9.94473993515921,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,6,7,65,56,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,3,3,CBlock,,,,,403,,1,238,806,GasA,3,Y,,6.86484777797086,620,0,7.363913501405819,1,0,1,0,3,1,2,5,Typ,2,,,65.0,,1,240,,,Y,0,0,1,0,0,0,,,,0,8,WD,Normal,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
5,RL,,9.590188994918822,Pave,,IR1,Bnk,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,4,59,59,Gable,CompShg,MetalSd,MetalSd,,161.0,3,3,CBlock,,,,,185,,0,524,709,GasA,3,Y,,6.88653164253051,224,0,7.0925737159746784,1,0,1,0,3,1,4,5,Typ,1,,,59.0,,1,352,,,Y,0,0,1,0,0,0,,,,0,7,WD,Normal,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
12,RL,4.418840607796598,10.006940404105286,Pave,,Reg,Lvl,AllPub,Inside,Gtl,ClearCr,Norm,Norm,1Fam,2Story,7,5,31,31,Hip,CompShg,Plywood,Plywood,,299.0,3,3,CBlock,,,,,392,,0,768,1160,GasA,5,Y,,7.052721049232323,866,0,7.611842399580417,0,0,2,1,4,1,3,8,Typ,1,,,31.0,,2,505,,,Y,288,117,0,0,0,0,,,,0,3,WD,Normal,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
4,RM,3.044522437723423,7.939120540700647,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,39,39,Gable,CompShg,HdBoard,ImStucc,,381.0,3,3,CBlock,,,,,0,,0,525,525,GasA,3,Y,,6.263398262591624,567,0,6.9957661563048505,0,0,1,1,3,1,3,6,Typ,0,,,39.0,,1,264,,,Y,0,0,0,0,0,0,,,,0,3,WD,Family,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
0,RM,4.0943445622221,9.620654483038743,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,4,99,3,Hip,CompShg,MetalSd,Stucco,,0.0,3,3,BrkTil,,,,,247,,1,310,1022,GasW,3,N,,6.92951677076365,0,0,6.92951677076365,1,0,1,0,2,1,3,4,Maj2,0,,,53.0,,1,280,,,Y,0,30,1,0,0,0,,,,0,6,WD,Normal,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
9,RL,3.8918202981106265,10.50561364780874,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Somerst,RRAn,Norm,1Fam,1Story,8,5,0,0,Gable,CompShg,VinylSd,VinylSd,,84.0,4,3,PConc,,,,,929,,0,556,1485,GasA,5,Y,,7.288927694521257,0,0,7.288927694521257,1,0,2,0,3,1,4,6,Typ,0,,,0.0,,3,754,,,Y,168,160,0,0,0,0,,,,0,8,WD,Normal,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
5,RM,3.912023005428146,9.882401061887073,Pave,,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,6,6,70,57,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,3,4,PConc,,,,,0,,0,780,780,GasA,3,Y,,6.659293919683638,595,0,7.226209010100671,0,0,1,1,3,1,4,6,Typ,1,,,28.0,,1,544,,,P,0,162,0,0,1,0,,,,0,12,WD,Normal,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
12,RL,5.075173815233827,10.533823231832384,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NoRidge,Norm,Norm,1Fam,2Story,10,5,11,11,Hip,CompShg,Wd Sdng,ImStucc,,0.0,4,3,PConc,,,,,2096,,0,300,2396,GasA,5,Y,,7.787796878181171,2065,0,8.406485069431817,1,0,3,1,4,1,5,10,Typ,2,,,11.0,,3,813,,,Y,171,78,0,0,0,555,,,,0,7,WD,Abnorml,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
4,FV,,9.219348414911861,Pave,,IR2,Lvl,AllPub,FR2,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,3,3,Gable,CompShg,MetalSd,MetalSd,,0.0,4,3,PConc,,,,,239,,0,312,551,GasA,5,Y,,6.311734809152915,551,0,7.004881989712859,0,0,2,1,2,1,4,4,Typ,0,,,3.0,,2,480,,,Y,0,60,0,0,0,0,,,,0,3,WD,Normal,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
