MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,SaleType,SaleCondition,LotFrontage_na,Alley_na,MasVnrType_na,MasVnrArea_na,BsmtQual_na,BsmtCond_na,BsmtExposure_na,BsmtFinType1_na,BsmtFinType2_na,Electrical_na,FireplaceQu_na,GarageType_na,GarageYrBlt_na,GarageFinish_na,GarageQual_na,GarageCond_na,PoolQC_na,Fence_na,MiscFeature_na
9,RL,4.290459441148391,9.872566282963348,Pave,,IR1,HLS,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,8,5,2,2,Gable,CompShg,VinylSd,VinylSd,,0.0,4,3,PConc,,,,,16,,0,1450,1466,GasA,5,Y,,7.290292882446597,0,0,7.290292882446597,0,0,2,0,3,1,4,7,Typ,0,,,2.0,,3,610,,,Y,100,18,0,0,0,0,,,,0,7,WD,Normal,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
9,RL,4.276666119016055,10.007175775550873,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,49,2,Gable,CompShg,HdBoard,HdBoard,,54.0,4,3,CBlock,,,,,806,,0,247,1053,GasA,5,Y,,6.959398512133975,0,0,6.959398512133975,1,0,1,1,3,1,4,5,Typ,0,,,49.0,,1,312,,,Y,0,0,0,0,0,0,,,,0,8,WD,Normal,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
11,RL,4.110873864173311,9.692888573640326,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,5,5,Hip,CompShg,MetalSd,MetalSd,,412.0,5,3,PConc,,,,,456,,0,1296,1752,GasA,5,Y,,7.468513271496337,0,0,7.468513271496337,1,0,2,0,2,1,5,6,Typ,1,,,5.0,,2,576,,,Y,196,82,0,0,0,0,,,,0,2,WD,Normal,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
9,RL,,10.576591315468816,Pave,,IR3,Low,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,7,5,9,9,Gable,CompShg,VinylSd,VinylSd,,0.0,4,3,PConc,,,,,1443,,0,39,1482,GasA,5,Y,,7.309212365692763,0,0,7.309212365692763,1,0,2,0,3,1,4,5,Typ,1,,,9.0,,2,514,,,Y,402,25,0,0,0,0,,,,0,8,WD,Normal,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
9,RL,4.605170185988092,10.026783838997972,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,44,44,Gable,CompShg,HdBoard,Plywood,,272.0,3,3,CBlock,,,,,490,,0,935,1425,GasA,4,Y,,7.261927092702751,0,0,7.261927092702751,0,0,2,0,3,1,3,7,Typ,1,,,44.0,,2,576,,,Y,0,0,0,1,0,0,,,,0,7,WD,Normal,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
11,RL,4.174387269895637,9.85184727662383,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,0,0,Hip,CompShg,MetalSd,MetalSd,,766.0,5,3,PConc,,,,,1540,,0,162,1702,GasA,5,Y,,7.43955930913332,0,0,7.43955930913332,1,0,1,1,1,1,5,7,Typ,1,,,0.0,,3,1052,,,Y,0,72,0,0,1,0,,,,0,10,New,Partial,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
9,RL,4.804021044733257,10.213789785828345,Pave,,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,9,5,2,2,Gable,CompShg,VinylSd,VinylSd,,0.0,4,3,PConc,,,,,0,,0,1800,1800,GasA,5,Y,,7.495541943884256,0,0,7.495541943884256,0,0,2,0,2,1,5,7,Typ,0,,,2.0,,2,702,,,Y,288,136,0,0,0,0,,,,0,5,WD,Normal,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
3,RL,4.204692619390966,9.852918564300682,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Feedr,Norm,Duplex,1.5Fin,5,7,108,5,Gable,CompShg,MetalSd,MetalSd,,0.0,3,3,CBlock,,,,,1084,,0,188,1272,GasA,4,Y,,7.148345743900068,928,0,7.696212639346407,2,0,2,2,4,2,3,9,Typ,0,,,,,0,0,,,N,0,70,0,0,0,0,,,,0,9,WD,Normal,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,RM,,9.218208329910267,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,8,7,83,12,Hip,CompShg,Stucco,Wd Shng,,0.0,3,4,PConc,,,,,0,,0,588,588,GasA,2,Y,,6.725033642166843,833,0,7.418180822726788,0,0,1,0,3,1,4,7,Typ,1,,,83.0,,1,228,,,Y,192,63,0,0,0,0,,,,0,6,WD,Normal,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
12,RL,4.382026634673881,10.612428834722964,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,RRAn,Norm,1Fam,2Story,7,5,28,28,Gable,CompShg,Plywood,Plywood,,184.0,3,3,CBlock,,,,,790,,1,133,1392,GasA,3,Y,,7.238496840894365,1392,0,7.931644021454311,1,0,3,1,5,1,4,12,Typ,2,,,28.0,,2,564,,,Y,0,112,0,0,1,519,,,,1,7,WD,Normal,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
